"genus","address","health","height","landmark","location"
"Oak","Gallup Park","1 - Good","3 - Tall","Yes","Park"
"Honey","2336 Hickory Point Dr","1 - Good","1 - Short","No","Street"
"Maple","207 Montgomery Ave","2 - Neutral","3 - Tall","Yes","Street"
"Honey","Liberty Plaza","2 - Neutral","2 - Medium","No","Park"
"Oak","Gallup Park","2 - Neutral","3 - Tall","Yes","Park"
"Spruce","1521 Pine Valley Blvd","1 - Good","1 - Short","No","Trail"
"Pine","3075 Provincial Dr","2 - Neutral","2 - Medium","No","Trail"
"Spruce","Burns Park","2 - Neutral","3 - Tall","No","Park"
"Pine","Hunt Park","2 - Neutral","3 - Tall","No","Park"
"Honey","3250 Washtenaw Ave","1 - Good","1 - Short","No","Street"
"Honey","2010 Fair St","1 - Good","2 - Medium","No","Street"
"Maple","2882 E Eisenhower Pkwy","1 - Good","2 - Medium","No","Street"
"Maple","3553 Terhune Rd","1 - Good","3 - Tall","Yes","Street"
"Maple","Olson Park","2 - Neutral","1 - Short","No","Park"
"Honey","Winchell Park","1 - Good","2 - Medium","No","Park"
"Maple","Island Park","1 - Good","2 - Medium","No","Park"
"Oak","Gallup Park","1 - Good","2 - Medium","No","Park"
"Honey","Veterans Memorial Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Waterworks Park","1 - Good","1 - Short","No","Park"
"Honey","3008 Cedarbrook Rd","1 - Good","2 - Medium","No","Street"
"Maple","2892 Ticknor Ct","1 - Good","2 - Medium","No","Street"
"Maple","2250 Medford Rd","1 - Good","1 - Short","No","Street"
"Honey","2050 Commerce Dr","2 - Neutral","1 - Short","No","Street"
"Honey","2636 Gloucester Way","2 - Neutral","2 - Medium","No","Street"
"Oak","Fuller Park","1 - Good","1 - Short","No","Park"
"Oak","Furstenburg Nature Area","2 - Neutral","2 - Medium","Yes","Park"
"Oak","417 Montgomery Ave","2 - Neutral","3 - Tall","No","Street"
"Spruce","Lansdowne Park","1 - Good","2 - Medium","No","Park"
"Spruce","2763 Westbury Ct","1 - Good","1 - Short","No","Trail"
"Spruce","3522 Prestwick Ct","2 - Neutral","2 - Medium","No","Street"
"Pine","Leslie Park","1 - Good","1 - Short","No","Park"
"Honey","3015 Washtenaw Ave","1 - Good","2 - Medium","No","Trail"
"Maple","2675 Salisbury Ln","2 - Neutral","2 - Medium","No","Street"
"Honey","1425 Bardstown Trl","1 - Good","2 - Medium","No","Street"
"Maple","1811 Weldon Blvd","1 - Good","2 - Medium","Yes","Street"
"Honey","1617 Washtenaw Ave","2 - Neutral","2 - Medium","No","Street"
"Spruce","1778 Sheridan Dr","1 - Good","1 - Short","No","Street"
"Maple","1442 Pine Valley Blvd","2 - Neutral","2 - Medium","No","Street"
"Maple","2810 Easy St","2 - Neutral","3 - Tall","Yes","Trail"
"Maple","1521 Argyle Cres","1 - Good","3 - Tall","Yes","Street"
"Spruce","Baxter Park","2 - Neutral","2 - Medium","No","Park"
"Oak","Olson Park","1 - Good","1 - Short","No","Park"
"Spruce","Lansdowne Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Hunt Park","1 - Good","1 - Short","No","Park"
"Maple","Creal Park","2 - Neutral","3 - Tall","No","Park"
"Pine","Mushroom Park","2 - Neutral","3 - Tall","No","Park"
"Honey","2001 W Liberty St","2 - Neutral","2 - Medium","No","Street"
"Maple","934 Dewey Ave","2 - Neutral","3 - Tall","No","Street"
"Maple","2705 Ember Way","1 - Good","1 - Short","No","Street"
"Pine","3905 Waldenwood Dr","3 - Bad","2 - Medium","No","Street"
"Honey","1801 Miller Ave","3 - Bad","3 - Tall","No","Street"
"Pine","Leslie Park","1 - Good","2 - Medium","No","Park"
"Maple","1211 Westport Rd","2 - Neutral","3 - Tall","Yes","Street"
"Oak","1203 Paul St","1 - Good","1 - Short","No","Street"
"Pine","769 Heatherway St","2 - Neutral","3 - Tall","Yes","Street"
"Spruce","Barton Nature Area","1 - Good","3 - Tall","Yes","Park"
"Oak","3025 Boardwalk Dr","1 - Good","1 - Short","No","Street"
"Maple","430 S Fourth Ave","1 - Good","2 - Medium","No","Street"
"Oak","3991 Penberton Dr","2 - Neutral","3 - Tall","Yes","Trail"
"Honey","3559 Washtenaw Ave","2 - Neutral","1 - Short","No","Trail"
"Maple","Mushroom Park","2 - Neutral","3 - Tall","Yes","Park"
"Oak","Cranbrook Park","2 - Neutral","2 - Medium","No","Park"
"Oak","1221 Brooklyn Ave","2 - Neutral","2 - Medium","No","Street"
"Honey","341 E Liberty St","2 - Neutral","2 - Medium","No","Street"
"Maple","1891 Independence Blvd","1 - Good","2 - Medium","No","Street"
"Oak","Furstenburg Nature Area","1 - Good","2 - Medium","No","Park"
"Oak","824 Packard St","1 - Good","2 - Medium","No","Street"
"Maple","1251 N Maple Rd","1 - Good","1 - Short","No","Trail"
"Honey","Gallup Park","2 - Neutral","1 - Short","No","Park"
"Spruce","Dolph Nature Area","1 - Good","1 - Short","No","Park"
"Pine","2305 Page Ave","2 - Neutral","2 - Medium","No","Trail"
"Maple","Garden Homes Park","2 - Neutral","2 - Medium","No","Park"
"Spruce","533 Kuehnle Ave","1 - Good","2 - Medium","No","Street"
"Maple","South University Park","2 - Neutral","3 - Tall","Yes","Park"
"Honey","1810 Avondale Ave","2 - Neutral","2 - Medium","No","Street"
"Spruce","Dolph Nature Area","1 - Good","1 - Short","No","Park"
"Maple","2727 S State St","3 - Bad","2 - Medium","No","Street"
"Spruce","1279 Harpst St","1 - Good","3 - Tall","No","Trail"
"Maple","1727 Dunmore Rd","1 - Good","2 - Medium","Yes","Street"
"Maple","2995 S Foxridge Ct","1 - Good","2 - Medium","No","Street"
"Maple","220 Felch St","2 - Neutral","1 - Short","No","Street"
"Maple","Plymouth Parkway","2 - Neutral","1 - Short","No","Park"
"Oak","Mary Beth Doyle Park","3 - Bad","1 - Short","No","Park"
"Maple","1415 Iroquois Pl","2 - Neutral","3 - Tall","Yes","Street"
"Oak","2909 Easy St","1 - Good","1 - Short","No","Trail"
"Maple","Leslie Park","2 - Neutral","2 - Medium","No","Park"
"Spruce","Mushroom Park","2 - Neutral","1 - Short","No","Park"
"Maple","400 Virginia Ave","2 - Neutral","2 - Medium","Yes","Street"
"Maple","1124 W Liberty St","2 - Neutral","3 - Tall","No","Street"
"Oak","West Park","2 - Neutral","3 - Tall","Yes","Park"
"Pine","2229 Glendaloch Rd","2 - Neutral","3 - Tall","No","Street"
"Oak","3460 Vintage Valley Rd","2 - Neutral","3 - Tall","Yes","Street"
"Maple","Virginia Park","2 - Neutral","3 - Tall","No","Park"
"Maple","1310 King George Blvd","2 - Neutral","3 - Tall","Yes","Street"
"Pine","Buhr Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Sugarbush Park","2 - Neutral","1 - Short","No","Park"
"Spruce","1650 Traver Rd","2 - Neutral","3 - Tall","No","Trail"
"Maple","3985 Research Park Dr","2 - Neutral","2 - Medium","No","Street"
"Maple","280 Gralake Ave","2 - Neutral","2 - Medium","No","Street"
"Pine","2731 Bromley Park","2 - Neutral","2 - Medium","No","Park"
"Oak","Garden Homes Park","2 - Neutral","3 - Tall","Yes","Park"
"Oak","602 Soule Blvd","1 - Good","1 - Short","No","Street"
"Spruce","1550 Huron Pkwy","1 - Good","1 - Short","No","Street"
"Oak","Glacier Highlands Park","2 - Neutral","2 - Medium","No","Park"
"Maple","901 Gott St","2 - Neutral","2 - Medium","Yes","Street"
"Pine","Hunt Park","2 - Neutral","2 - Medium","No","Park"
"Maple","1570 King George Ct","2 - Neutral","3 - Tall","Yes","Street"
"Maple","1505 Saunders Cres","1 - Good","2 - Medium","No","Street"
"Maple","508 Alice St","2 - Neutral","3 - Tall","No","Street"
"Oak","Furstenburg Nature Area","1 - Good","2 - Medium","No","Park"
"Pine","Sugarbush Park","2 - Neutral","2 - Medium","No","Park"
"Oak","Bandemer Park","2 - Neutral","1 - Short","No","Park"
"Oak","2716 Lookout Cir","1 - Good","1 - Short","No","Street"
"Honey","1708 Charlton Ave","1 - Good","2 - Medium","No","Street"
"Maple","Hunt Park","2 - Neutral","3 - Tall","Yes","Park"
"Maple","1601 Shadford Rd","1 - Good","2 - Medium","No","Street"
"Maple","1610 Pontiac Trl","2 - Neutral","2 - Medium","No","Street"
"Honey","722 N Main St","2 - Neutral","2 - Medium","No","Street"
"Honey","Eberbach Cultural Arts B*","2 - Neutral","3 - Tall","No","Park"
"Maple","2737 Holyoke Ln","1 - Good","1 - Short","No","Street"
"Maple","Bandemer Park","2 - Neutral","1 - Short","No","Park"
"Spruce","Dolph Nature Area","2 - Neutral","2 - Medium","No","Park"
"Maple","2274 Newport Rd","2 - Neutral","3 - Tall","Yes","Street"
"Spruce","Veterans Memorial Park","1 - Good","3 - Tall","No","Park"
"Maple","1501 South Blvd","1 - Good","2 - Medium","No","Street"
"Pine","Pilgrim Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Mary Beth Doyle Park","1 - Good","1 - Short","No","Park"
"Oak","900 Earhart Rd","2 - Neutral","3 - Tall","Yes","Street"
"Maple","Earhart West Park","1 - Good","3 - Tall","No","Park"
"Oak","809 Taylor St","2 - Neutral","3 - Tall","Yes","Street"
"Oak","2521 Mallard Ct","1 - Good","1 - Short","No","Street"
"Pine","Mushroom Park","2 - Neutral","2 - Medium","No","Park"
"Maple","3055 Cedarbrook Rd","3 - Bad","1 - Short","No","Street"
"Maple","734 Archwood Dr","1 - Good","3 - Tall","Yes","Street"
"Oak","Hollywood Park","2 - Neutral","3 - Tall","Yes","Park"
"Oak","3076 Geddes Ave","2 - Neutral","3 - Tall","Yes","Street"
"Maple","Veterans Memorial Park","2 - Neutral","1 - Short","No","Park"
"Maple","Wheeler Park","3 - Bad","2 - Medium","No","Park"
"Maple","2630 Gladstone Ave","1 - Good","2 - Medium","No","Trail"
"Maple","Olson Park","2 - Neutral","1 - Short","No","Park"
"Oak","Veterans Memorial Park","3 - Bad","3 - Tall","Yes","Park"
"Maple","Belize Park","2 - Neutral","3 - Tall","No","Park"
"Maple","3097 Whisperwood Dr","1 - Good","1 - Short","No","Street"
"Honey","1397 King George Blvd","1 - Good","3 - Tall","No","Street"
"Maple","2555 S Main St","2 - Neutral","2 - Medium","No","Street"
"Honey","Buhr Park","1 - Good","2 - Medium","No","Park"
"Oak","Hunt Park","2 - Neutral","3 - Tall","Yes","Park"
"Pine","800 S Maple Rd","2 - Neutral","2 - Medium","No","Street"
"Spruce","2540 Newport Rd","2 - Neutral","1 - Short","No","Trail"
"Maple","1702 Shadford Rd","1 - Good","1 - Short","No","Street"
"Honey","704 Spring St","1 - Good","3 - Tall","No","Street"
"Maple","1620 Cherokee Rd","1 - Good","3 - Tall","Yes","Street"
"Spruce","433 Huntington Pl","1 - Good","2 - Medium","No","Street"
"Pine","2850 S Main St","2 - Neutral","2 - Medium","No","Trail"
"Maple","1289 Jewett Ave","2 - Neutral","2 - Medium","No","Trail"
"Maple","1306 W Madison St","1 - Good","3 - Tall","Yes","Street"
"Maple","Bandemer Park","1 - Good","1 - Short","No","Park"
"Maple","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Oak","Gallup Park","1 - Good","3 - Tall","Yes","Park"
"Maple","3151 Plymouth Rd","1 - Good","1 - Short","No","Street"
"Spruce","3080 E Eisenhower Pkwy","1 - Good","3 - Tall","No","Street"
"Pine","Mushroom Park","2 - Neutral","2 - Medium","No","Park"
"Maple","455 E Eisenhower Pkwy","2 - Neutral","2 - Medium","No","Street"
"Spruce","3001 S State St","1 - Good","2 - Medium","No","Street"
"Maple","2913 E Eisenhower Pkwy","1 - Good","2 - Medium","No","Street"
"Maple","3244 Lakewood Dr","2 - Neutral","3 - Tall","Yes","Street"
"Oak","Leslie Park","2 - Neutral","1 - Short","No","Park"
"Pine","Baxter Park","2 - Neutral","2 - Medium","No","Park"
"Maple","1615 Meadowside Dr","1 - Good","1 - Short","No","Street"
"Maple","3003 Sequoia Pkwy","2 - Neutral","3 - Tall","No","Street"
"Oak","2100 Fuller Rd","3 - Bad","1 - Short","No","Street"
"Maple","2924 N Baylis Dr","1 - Good","1 - Short","No","Street"
"Oak","Fuller Park","2 - Neutral","1 - Short","No","Park"
"Spruce","Plymouth Parkway","2 - Neutral","2 - Medium","No","Park"
"Oak","2418 Londonderry Rd","1 - Good","1 - Short","No","Street"
"Maple","817 Third St","2 - Neutral","3 - Tall","Yes","Street"
"Oak","1625 S Maple Rd","1 - Good","2 - Medium","No","Street"
"Maple","646 Louise Dr","2 - Neutral","3 - Tall","Yes","Street"
"Pine","Sugarbush Park","2 - Neutral","2 - Medium","No","Park"
"Honey","407 S Fifth Ave","1 - Good","2 - Medium","No","Street"
"Spruce","3170 Dwight St","2 - Neutral","1 - Short","No","Street"
"Honey","410 Wilder Pl","1 - Good","2 - Medium","No","Street"
"Maple","500 S Seventh St","2 - Neutral","3 - Tall","Yes","Street"
"Spruce","581 Huntington Dr","2 - Neutral","1 - Short","No","Street"
"Oak","1209 W Huron St","2 - Neutral","2 - Medium","No","Street"
"Maple","Fuller Park","2 - Neutral","2 - Medium","No","Park"
"Oak","325 E Liberty St","1 - Good","1 - Short","No","Street"
"Maple","Mushroom Park","2 - Neutral","3 - Tall","No","Park"
"Maple","1925 Austin Ave","2 - Neutral","3 - Tall","Yes","Street"
"Maple","Woodbury Park","1 - Good","3 - Tall","No","Park"
"Honey","860 Arlington Blvd","2 - Neutral","3 - Tall","No","Street"
"Maple","532 S Ashley St","3 - Bad","2 - Medium","Yes","Street"
"Honey","116 E Liberty St","1 - Good","1 - Short","No","Street"
"Honey","Hunt Park","1 - Good","2 - Medium","No","Park"
"Maple","Earhart West Park","1 - Good","3 - Tall","No","Park"
"Spruce","Leslie Science Center","3 - Bad","2 - Medium","No","Park"
"Spruce","Sugarbush Park","1 - Good","2 - Medium","No","Park"
"Maple","Kelly Park","2 - Neutral","1 - Short","No","Park"
"Maple","3074 Edgewood Dr","2 - Neutral","3 - Tall","Yes","Street"
"Pine","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Maple","2083 Georgetown Blvd","2 - Neutral","2 - Medium","No","Street"
"Spruce","Kelly Park","2 - Neutral","1 - Short","No","Park"
"Oak","2865 S Main St","1 - Good","1 - Short","No","Street"
"Spruce","Baxter Park","2 - Neutral","3 - Tall","No","Park"
"Oak","Burr Oak Park","2 - Neutral","2 - Medium","No","Park"
"Maple","Hunt Park","2 - Neutral","3 - Tall","No","Park"
"Honey","2222 Placid Way","2 - Neutral","2 - Medium","No","Street"
"Oak","Southeast Area Park","2 - Neutral","3 - Tall","No","Park"
"Oak","Leslie Park","1 - Good","1 - Short","No","Park"
"Maple","2307 Manchester Rd","1 - Good","2 - Medium","No","Street"
"Honey","1415 Fulmer St","3 - Bad","2 - Medium","No","Street"
"Maple","1606 Anderson Ave","1 - Good","3 - Tall","Yes","Street"
"Maple","2811 Canterbury Rd","2 - Neutral","2 - Medium","Yes","Street"
"Maple","6 Manchester Ct","2 - Neutral","2 - Medium","No","Street"
"Honey","2688 Gloucester Way","2 - Neutral","2 - Medium","No","Street"
"Spruce","Sugarbush Park","1 - Good","2 - Medium","No","Park"
"Pine","Southeast Area Park","1 - Good","2 - Medium","No","Park"
"Honey","3248 Bluett Dr","1 - Good","2 - Medium","No","Street"
"Oak","Furstenburg Nature Area","1 - Good","3 - Tall","No","Park"
"Honey","Island Park","1 - Good","3 - Tall","No","Park"
"Honey","Veterans Memorial Park","2 - Neutral","1 - Short","No","Park"
"Oak","Southeast Area Park","2 - Neutral","2 - Medium","No","Park"
"Spruce","West Park","2 - Neutral","1 - Short","No","Park"
"Spruce","Glacier Highlands Park","1 - Good","1 - Short","No","Park"
"Honey","2215 Faye Dr","2 - Neutral","1 - Short","No","Street"
